Time,Cz,Fz,Fp1,F7,F3,C3,P3,O1,Pz,Oz,O2,P4,C4,F4,F8,Fp2
0.0000,-1.8245,11.3490,4.7205,-1.9858,-0.1310,-3.6067,-3.7595,-2.1716,-3.2762,-1.9138,-13.4306,-4.5263,-9.3207,4.1404,4.8605,7.2665
7.8125,-5.9400,12.0121,5.0494,-3.1413,-0.2796,-2.2237,1.1052,-3.1292,0.5450,-6.5406,-17.6900,-3.2595,-14.2592,3.2925,5.4114,8.0239
15.6250,-8.1947,14.2024,5.4964,-0.1412,0.2129,-6.1704,-2.3167,-0.9583,0.1561,-0.9435,-6.6396,-2.5810,-15.7801,0.3353,-1.2450,5.8052
23.4375,-4.0574,14.2614,6.3692,3.5856,1.1924,-3.9523,-1.1804,0.3387,-2.5447,0.1231,-13.3810,-1.5658,-7.1153,-0.8853,-4.0100,4.7078
31.2500,-2.1780,13.7269,4.1862,-4.3751,1.1733,1.3735,7.3700,-0.7125,-1.1501,-7.4373,-19.3713,2.4134,-3.5483,-2.2893,-3.4449,4.0571
39.0625,-4.3924,17.2814,4.5812,-8.0961,2.1631,1.8882,8.8410,3.3519,1.3453,-3.8447,-21.7162,1.2169,-5.5357,-2.3495,-7.7726,4.2463
46.8750,-5.9956,16.0945,5.8916,-0.0054,2.9134,1.4890,3.7235,2.7777,-1.9007,1.0105,-11.8168,-0.7435,-8.2448,-2.0304,-3.6003,4.7446
54.6875,-5.1713,12.8711,5.1924,1.0096,0.2102,2.1500,3.8236,-3.1291,-0.0463,-5.2280,-14.0196,4.4216,-13.8059,-5.4916,12.0252,7.1350
62.5000,-5.3485,11.8831,0.9753,-6.5826,-8.3194,0.4756,4.5545,-3.1885,5.5359,-7.1898,-13.8512,7.5458,-14.6996,-4.9554,11.3201,5.9612
70.3125,-3.7730,12.5883,1.0426,-4.9453,-11.4226,2.7193,4.9547,2.9536,4.9975,-0.9848,-23.7744,7.0055,-0.7489,3.0750,0.5310,5.0591
78.1250,-1.6564,13.6285,3.5185,-4.0695,-3.4012,3.8338,5.8955,4.5009,2.4758,1.5461,-19.6403,8.8097,1.5820,2.5283,2.2194,6.1150
85.9375,-0.0873,13.0824,3.7954,-8.7678,2.3817,0.8885,6.9728,5.1922,4.7463,1.7810,-10.1317,8.5189,-4.8370,1.0694,2.7803,6.2724
93.7500,2.2157,7.9031,0.8598,-8.7420,-4.6226,1.8987,9.2522,7.1193,5.3839,1.4660,-16.3968,9.5542,4.4285,9.7324,-5.1313,4.1547
101.5625,3.5688,6.9239,0.3145,-7.0307,-9.2337,5.0767,10.9246,9.4335,7.5183,3.1964,-44.9087,14.1499,8.0925,3.2925,-0.6898,3.8297
109.3750,0.8425,8.5782,1.3969,-8.9256,-2.3234,2.9792,7.1902,7.5596,9.1066,3.9042,-47.0807,13.9561,-11.9480,-14.2827,6.7299,3.0292
117.1875,3.1971,11.5135,7.8057,-5.3935,7.9035,5.4919,8.0776,5.4508,5.7392,-1.9444,-55.7732,10.2327,-11.1040,-4.0113,2.0849,7.7311
